sample_size,paired_exact_strict_reversal_probability,paired_exact_tie_probability,paired_exact_nonpositive_probability,paired_monte_carlo_strict_reversal_probability,paired_monte_carlo_tie_probability,paired_normal_reversal_probability,unpaired_exact_strict_reversal_probability,unpaired_exact_tie_probability,unpaired_exact_nonpositive_probability,replications,seed
25,0.2956364438022329,0.11295599601711949,0.4085924398193524,0.29778,0.11228,0.35109734235659273,0.30765693265267036,0.10654872504632945,0.4142056576989998,100000,20260919
50,0.2578731814307969,0.07436789923855934,0.33224108066935626,0.25806,0.07459,0.29434406697594484,0.27145271546545285,0.07083723493223376,0.3422899503976866,100000,20260919
100,0.19997152041769836,0.045477480882837165,0.24544900130053554,0.19939,0.04607,0.22221941125201738,0.2153232637553099,0.04412179044694353,0.25944505420225344,100000,20260919
250,0.1042914370178247,0.018567239648925163,0.12285867666674986,0.10468,0.01883,0.11330701279287847,0.11951989973922165,0.019017842318623704,0.13853774205784536,100000,20260919
500,0.04060292695163067,0.006326252661284704,0.04692917961291537,0.04055,0.00687,0.043636272539351144,0.05126660651460982,0.007090808430700188,0.05835741494531001,100000,20260919
1000,0.007312320063706449,0.0010383692186388032,0.008350689282345253,0.00716,0.00108,0.00779758967065528,0.011124906838996673,0.0013935561581670426,0.012518462997163715,100000,20260919
