target_reversal_probability,design,mean_difference_pct,effective_per_round_sd_pct,required_sample_size
0.1,Paired,5.582893243243243,135.90874819239386,974
0.1,Unpaired,5.582893243243243,151.27584428984875,1206
0.05,Paired,5.582893243243243,135.90874819239386,1604
0.05,Unpaired,5.582893243243243,151.27584428984875,1987
0.01,Paired,5.582893243243243,135.90874819239386,3208
0.01,Unpaired,5.582893243243243,151.27584428984875,3974
0.005,Paired,5.582893243243243,135.90874819239386,3932
0.005,Unpaired,5.582893243243243,151.27584428984875,4872
0.001,Paired,5.582893243243243,135.90874819239386,5660
0.001,Unpaired,5.582893243243243,151.27584428984875,7012
