strategy,rounds_per_replication,replications,mean_return_pct,sd_replication_return_pct,mcse_mean_return_pct,ci_95_lower_pct,ci_95_upper_pct
Full basic,2500,1000,-0.4894,2.3432451083140315,0.07409991658320296,-0.6346358365030778,-0.3441641634969222
No-split basic,2500,1000,-1.0473800000000002,2.2545470760483397,0.07129503852385605,-1.187118275506758,-0.9076417244932423
No-double basic,2500,1000,-2.00528,2.106365803581728,0.06660913524809116,-2.1358339050862587,-1.8747260949137412
Stand-on-12 conservative,2500,1000,-3.9791399999999997,2.263990749653036,0.07159367370455658,-4.11946360046093,-3.838816399539069
Dealer mimic,2500,1000,-5.7051799999999995,1.9795031700910206,0.06259738653011322,-5.827870877599022,-5.582489122400977
Simplified,2500,1000,-6.10188,1.9817725116389844,0.0626691494109174,-6.224711532845398,-5.979048467154603
Random legal,2500,1000,-42.55084,2.598974174777649,0.08218677972253909,-42.71192608825618,-42.389753911743824
