sample_size,exact_strict_reversal_probability,exact_tie_probability,exact_nonpositive_probability,normal_reversal_probability
25,0.15471657239884717,0.0,0.15471657239884717,0.19945833372651384
50,0.09678169395383135,0.0,0.09678169395383135,0.11644044474478399
96,0.05284359718905554,0.0,0.05284359718905554,0.049162527065985825
100,0.04080700320563972,0.0,0.04080700320563972,0.04579060195153327
191,0.010530414954417843,0.0,0.010530414954417843,0.009859829687187327
250,0.0038945636444428725,0.0,0.0038945636444428725,0.0038201742427570536
500,6.899187465543956e-05,0.0,6.899187465543956e-05,8.080860276939755e-05
1000,4.16484256222392e-08,0.0,4.16484256222392e-08,4.773893513453367e-08
