strategy,n,mean_return,standard_deviation,standard_error,ci_95_lower,ci_95_upper
Basic,2500.0,0.0048,1.1558163022426282,0.023116326044852566,-0.04050799904791103,0.05010799904791103
Simplified,2500.0,-0.0538,0.999502457258015,0.0199900491451603,-0.09298049632451419,-0.014619503675485812
