strategy,rounds,total_return,mean_return_per_round,median_return_per_round,sd_return_per_round,wins,losses,pushes,splits,doubles,win_rate,loss_rate,push_rate,return_percentage
Basic,2500,12.0,0.0048,0.0,1.1558163022426238,985,1083,219,78,260,0.394,0.4332,0.0876,0.48
Simplified,2500,-134.5,-0.0538,-1.0,0.9995024572580232,954,1172,145,0,0,0.3816,0.4688,0.058,-5.38
